,name,role,p_index
519,na-lu₅,['source'],101434
520,ur#-nigar#{gar#},['recipient'],101434
521,u₂-ša-ak-il,['source'],101435
522,ur-šu-ga-lam-ma,['recipient'],101435
523,ta₂-hi-iš-a-tal,['source'],101437
524,{d}šul-gi-iri-mu,['recipient'],101437
525,en-dingir-mu,['source'],101438
526,{d}[šul-gi-iri]-mu,['recipient'],101438
527,{d}šul-gi-si₂-im-ti,['new owner'],101442
528,{d}šul-gi-i₃-li₂,"['source', 'source']",101447
529,{d}šul-gi-si₂-im-ti,['new owner'],101448
530,a₂-bi₂-li₂-a,['recipient'],101448
531,u₂-ta₂-mi-šar-ra-am,['source'],101449
532,be-li₂-li₂,['recipient'],101449
533,ša₃-ta-ku₃-zu,['intermediary'],101451
534,ur-{d}nun-gal,['intermediary'],101451
535,a-pi-la-ša,['intermediary'],101452
536,{d}suen-a-bu-šu,['authorized'],101454
537,{d}suen-a-bu-šu,['authorized'],101455
538,hal-li₂-a,['intermediary'],101455
539,ur-{d}ba-ba₆,['intermediary'],101457
540,ur-nigar{gar},['intermediary'],101457
541,ur-nig₂,['source'],101457
542,{d}šu-x,['intermediary'],101457
543,a-al-la-mu,['source'],101457
544,ni-tam-ma,['intermediary'],101457
545,a-a-{d}nanna-ar-kal,['intermediary'],101460
546,i-di₃-er₃-ra,"['source', 'source', 'source']",101461
547,be-li₂-a-zu,['source'],101461
548,lu₂-uru₁₁{ki},['intermediary'],101462
549,{d}iškur-illat,['intermediary'],101552
550,{d?}]iškur#?-illat,['source'],101694
551,dingir-ra-bi₂,['source'],101694
552,dan-u₂-a,['source'],101694
553,za-a-num₂,['source'],101694
554,šu-u₃-a,"['source', 'source']",101694
555,en-um-{d}iškur,['source'],101694
556,e-la-ak-nu-id,['source'],101694
557,šu-ab-ba,['source'],101694
558,dingir-ba-ni,['source'],101694
559,e-la-ak-ku-ru-ba,['source'],101694
560,{d}iškur-illat,['source'],101694
561,šu-{d}utu,['source'],101694
562,eb-ku-ša,['source'],101694
563,maš-gu-la,['source'],101694
564,lu₂-giri₁₇-zal,['source'],101694
565,da-da,['source'],101694
566,ur-{d}lamma,"['source', 'source']",101694
567,a-bu#?-ni#?,['source'],101694
568,lu₂-{d}inanna,['source'],101694
569,lugal-me₃,['source'],101694
570,er₃-zu-dan,['source'],101694
571,i₃-li₂-e₂-tu,['source'],101694
572,la-gi-ip,['source'],101694
573,a-da-še-en₆,['source'],101694
574,e-er-dingir,['source'],101694
575,ur-{d}KA-x-ra,['source'],101694
576,ur-e₂-an-na,['source'],101694
577,ur-e₂-nun-na,['source'],101694
578,er₃#-re-eb,['source'],101694
579,i₃-li₂-a-hum,['source'],101694
580,šu-i₃-li₂-šu,['source'],101694
581,a-dam-šah₂{ki},['source'],101721
582,ab-ba-na-ka,['intermediary'],101721
583,lugal-amar-ku₃,['source'],101723
584,lu₂-sa₆-ga,['recipient'],101723
585,du₁₁-ga#-[zi-da,['new owner'],101727
586,en-ša₃-ku₃-ge,['new owner'],101727
587,lu₂-dingir-ra,['new owner'],101727
588,ur-{d}nin-gubalag,['new owner'],101727
589,lugal-ma₂-gur₈-re,['new owner'],101727
590,e₂-a-i₃-li₂,['new owner'],101727
591,ur-{d}ba-ba₆,['recipient'],101757
592,a-a-kal-la,['recipient'],101757
593,en-dingir-mu,['source'],101757
594,{d}en-lil₂-zi-ša₃-gal₂,['intermediary'],101758
595,kas₃-pu-ša,"['intermediary', 'intermediary']",101758
596,a-bi-zi-[im]-ti#,['intermediary'],101758
597,{d}nanna-igi-du,"['authorized', 'authorized']",101758
598,id-da-a,['intermediary'],101758
599,{d}suen-a-bu-šu,['intermediary'],101758
600,x]-x-x-x,['source'],101758
601,na-lu₅,['source'],101759
602,i-šar-i₃-li₂,['intermediary'],101759
603,{d}nanna-ki-ag₂,['intermediary'],101760
604,ba-a-ba-lum,['intermediary'],101760
605,iri-sa₁₂-rig₇{ki},['source'],101760
606,{d}suen-a-bu-šu,['authorized'],101761
607,ARAD₂-mu,['authorized'],101761
608,a-mur-dingir,['authorized'],101761
609,a-ba-{d}en-lil₂-gin₇,['source'],101761
610,lu₂-{d}nin-šubur,['intermediary'],101761
611,na-lu₅,['source'],101766
612,lu₂-dingir-ra,['source'],101770
613,ur-nigar{gar},['recipient'],101770
