name;professions
a-bi₂-a-mu-ti;{'MAR.TU[westerner]'}
a-bi₂-a-ti#?;{'AN'}
a-bi₂-du₁₀;{'lu[person]'}
a-bi₂-iš-ki-in;{'dumu[child]'}
a-bi₂-ki-in;{'lu[person]'}
a-bi₂-si₂-<im>-ti;{'nin[lady]'}
a-bi₂-si₂-im-ti;{'DN', 'GN', 'u', 'nin[lady]', 'X', 'ud[sun]'}
a-bi₂-zu;{'ragaba[rider]'}
a-bu-bu;{'idu[doorkeeper]'}
a-bu-du₁₀;{'agaʾus[soldier]', 'nubanda[overseer]', 'lu[person]'}
a-bu-du₁₀!;{'kul[collect]'}
a-bu-ni;{'šakkanak[general]'}
a-bu-um-dingir;{'dubsar[scribe]', 'AN'}
a-da#-a;{'PN'}
a-da-a;{'nubanda[overseer]', 'lu[person]', 'u', 'PN'}
a-da-a-ka;{'nud[lie]'}
a-da-gal;{'sukkal[secretary]'}
a-da-gal#?;{'AN'}
a-da-lal₃;{'nagada[herdsman]', 'AN', 'lu[person]', 'unud[cowherd]', 'ugula[overseer]', 'šabra[administrator]', 'u', 'engar[farmer]', 'u[and]', 'šagia[cup-bearer]', 'dumu[child]', 'ragaba[rider]', 'n', 'X', 'kuš[official]'}
a-da-lal₃!;{'nubanda[overseer]', 'šabra[administrator]'}
a-da-lal₃#?;{'PN'}
a-da-lal₃?;{'kaguruk[supervisor]'}
a-da-na-ah;{'mušendu[bird-catcher]', 'sipad[shepherd]'}
a-da-tum;{'šakkanak[general]', 'lu[person]'}
a-ga-num₂;{'nar[musician]'}
a-giri₁₇-zal;{'simug[smith]'}
a-gu-a;{'nagada[herdsman]', 'kurušda[fattener]', 'kul[collect]', 'erin[people]', 'šidim[builder]', 'kuš[official]'}
a-gu-a-ni;{'nubanda[overseer]'}
a-gu-du;{'agaʾus[soldier]'}
a-gu-gu#;{'AN'}
a-ha-an-ni-šu;{'muhaldim[cook]'}
a-ha-an-si-bu;{'X', 'lu[person]'}
a-ha-an-ti-bu;{'lu[person]'}
a-ha-ni-šu;{'šarrabdu[administrator]', 'nubanda[overseer]', 'muhaldim[cook]'}
a-hi-ma;{'kurušda[fattener]'}
a-hu!-ni;{'šagia[cup-bearer]'}
a-hu-[...];{'u[and]', 'ensik[ruler]'}
a-hu-a;{'e[house]', 'šeš[brother]', 'šabra[administrator]', 'sipad[shepherd]', 'FN', 'dumu[child]', 'mu[year]', 'ensik[ruler]', 'nubanda[overseer]', 'muhaldim[cook]'}
a-hu-a-li₂;{'nagada[herdsman]', 'nubanda[overseer]'}
a-hu-a-ti;{'azu[doctor]'}
a-hu-du₁₀;{'engar[farmer]', 'kurušda[fattener]', 'mu[year]', 'PN'}
a-hu-ma;{'ensik[ruler]'}
a-hu-ni;{'nagada[herdsman]', 'AN', 'lu[person]', 'ak[do]', 'nagar[carpenter]', 'kuš[official]', 'malah[sailor]', 'min[two]', 'PN', 'sipad[shepherd]', 'šagia[cup-bearer]', 'idu[doorkeeper]', 'FN', 'dumu[child]', 'engar[farmer]', 'sukkal[secretary]', 'nubanda[overseer]', 'gin[firm]'}
a-hu-um;{'unud[cowherd]'}
a-hu-um#;{'FN'}
a-hu-um-ba-ni;{'ensik[ruler]'}
a-hu-um-dingir;{'lu[person]'}
a-hu-um-ma;{'ensik[ruler]'}
a-hu-um-ma!;{'ugula[overseer]'}
a-hu-wa!(IGI)-qar#;{'šarrabdu[administrator]'}
a-hu-wa-[qar];{'šarrabdu[administrator]'}
a-hu-wa-qar;{'šarrabdu[administrator]', 'dubsar[scribe]', 'dumu[child]', 'ensik[ruler]', 'sukkal[secretary]', 'nubanda[overseer]', 'kuš[official]'}
a-hu-we#-er#-[ta;{'PN'}
a-hu-we-er;{'X', 'PN'}
a-hu-we-er-[ta;{'PN'}
a-hu-šu-ni;{'agaʾus[soldier]', 'sukkal[secretary]'}
a-i₃-li₂-su;{'ugula[overseer]'}
a-kal-la;{'dubsar[scribe]', 'ed[ascend]', 'muhaldim[cook]'}
a-ki-a;{'šagia[cup-bearer]', 'nubanda[overseer]'}
a-la-la-a;{'nar[musician]'}
a-la-ru-um;{'sipad[shepherd]'}
a-lal₃-la-lum;{'X'}
a-li-ba-nu-uk-ša-ba-aš;{'ensik[ruler]'}
a-li₂-ah;{'šabra[administrator]'}
a-lu-a;{'šabra[administrator]'}
a-lum-me-il-lum;{'MAR.TU[westerner]'}
a-ma;{'tur[small]'}
a-ma-an-ne-en;{'sukkal[secretary]'}
a-mi-ir-{d}šul-gi;{'FN'}
a-mu#-a;{'kul[collect]'}
a-mu-a;{'nubanda[overseer]', 'kul[collect]'}
a-mur#-dingir#;{'ragaba[rider]'}
a-mur-dingir;{'ragaba[rider]', 'lu[person]'}
a-mur-dingir-lum;{'nubanda[overseer]'}
a-mur-e₂-a;{'u[and]', 'šakkanak[general]'}
a-mur-{d}suen;{'muhaldim[cook]', 'šabra[administrator]', 'ensik[ruler]'}
a-mur-{d}šul-gi;{'u[and]', 'lu[person]'}
a-na-da-hul;{'munus[woman]'}
a-na-nu-um-dingir;{'MAR.TU[westerner]'}
a-na-ti;{'ugula[overseer]', 'sukkal[secretary]'}
a-na-tum;{'ummia[expert]'}
a-na-um-ma;{'X'}
a-ni-ni;{'u'}
a-pi-la-ša;{'u'}
a-ra;{'n'}
a-ri#-du#-bu-uk;{'lu[person]'}
a-ri-du-bu-uk;{'lu[person]'}
a-ri-ib-a-tal;{'dumu[child]'}
a-ri-ib-hu-ub-bi;{'lu[person]'}
a-ri-za-nu-um;{'MAR.TU[westerner]'}
a-ri₂-lum;{'kugbabbar[silver]'}
a-ri₂-x;{'u'}
a-ta₂-kal₂-šum;{'uddatuš[jester]'}
a-ti;{'sukkal[secretary]'}
a-ti-da;{'lu[person]'}
a-tu!(SAR);{'šagia[cup-bearer]'}
a-tu-ma-ma;{'malah[sailor]'}
a-tu-ra;{'sug[replace]'}
a-u₃-da-il;{'MAR.TU[westerner]'}
a-wa-an;{'MAR.TU[westerner]'}
a-wa-ar;{'ragaba[rider]'}
a-wa-ar-ka;{'sukkal[secretary]'}
a-wa-at-i₃-li₂;{'duh[bran]', 'u'}
a-wi-te-el₄;{'MAR.TU[westerner]'}
a-x;{'u'}
a-za;{'engar[farmer]', 'lu[person]'}
a-za-ba-an;{'dumu[child]'}
a-ši-ri₂-da;{'ugula[overseer]'}
a]-ab-ba-ni;{'FN'}
a]-bi₂-si₂-im-ti;{'tug[textile]'}
a]-hu-we-er-ta!;{'PN'}
a]-kal#-[la];{'ensik[ruler]'}
ab#-ba-sa₆#-ga#;{'PN'}
ab#-ba-sa₆-[ga];{'PN'}
ab#-ba-sa₆-ga;{'PN'}
ab#-ba-sa₆-ga-ta#;{'PN'}
ab-[ba-kal-la?];{'dubsar[scribe]'}
ab-ba#-sa₆#-ga;{'PN'}
ab-ba-[sa₆-ga];{'PN'}
ab-ba-[sa₆]-ga;{'PN'}
ab-ba-a;{'agaʾus[soldier]'}
ab-ba-gi-na;{'unud[cowherd]', 'dumu[child]'}
ab-ba-kal-la;{'nagada[herdsman]', 'šeš[brother]', 'ŋiri[foot]', 'dubsar[scribe]', 'PN', 'sipad[shepherd]', 'engar[farmer]', 'ud[sun]'}
ab-ba-mu;{'sukkal[secretary]', 'damgar[merchant]', 'šabra[administrator]', 'šeš[brother]'}
ab-ba-mu#;{'damgar[merchant]'}
ab-ba-ni-ir;{'kaš[beer]'}
ab-ba-sa₆#-ga;{'PN'}
ab-ba-sa₆-<ga>;{'PN'}
ab-ba-sa₆-[a];{'PN'}
ab-ba-sa₆-[ga;{'dumu[child]'}
ab-ba-sa₆-[ga];{'PN'}
ab-ba-sa₆-ga;{'AN', 'ŋal[be]', 'u', 'PN', 'de[bring]', 'dumu[child]', 'sukkal[secretary]'}
ab-ba-sa₆-ga-<ta>;{'PN'}
ab-ba-sa₆-ga-ka;{'ŋar[place]'}
ab-ba-sa₆-ga-še₃;{'gur[turn]'}
ab-ba-sa₆-ga];{'PN'}
ab-ba-sa₆]-ga-[ta];{'PN'}
ab-e₃;{'PN'}
ab]-ba-sa₆#-[ga-ta];{'PN'}
ab]-ba-sa₆-[ga-ta];{'PN'}
ad#-da#-sa₆-ga;{'agaʾus[soldier]'}
ad#-da-kal#-[la];{'ugula[overseer]'}
ad-[...];{'u'}
ad-[da]-gu#-[la];{'dubsar[scribe]'}
ad-da-[bu-ni]-hu-tah;{'lu[person]'}
ad-da-bu-ni;{'lu[person]'}
ad-da-gi-na;{'lu[person]', 'ensik[ruler]'}
ad-da-gi-na#;{'ensik[ruler]'}
ad-da-kal-la;{'dubsar[scribe]', 'šarrabdu[administrator]', 'dumu[child]', 'ugula[overseer]', 'ušbar[weaver]'}
ad-da-mu;{'šagia[cup-bearer]', 'nukirik[gardener]', 'lu[person]'}
ad-da-mu#;{'šagia[cup-bearer]'}
ad-da-sa₆-ga;{'agaʾus[soldier]'}
ad-da-tur;{'AN', 'PN'}
ad-du;{'dam[spouse]'}
ad-du-na;{'lu[person]'}
ad-ga-nu-um;{'MAR.TU[westerner]'}
ad-gi;{'du[build]'}
ad-lal₃;{'šagia[cup-bearer]'}
ad?-da-kal-la;{'dumu[child]'}
ah-ba-bu;{'MAR.TU[westerner]'}
al#-la#-x;{'AN'}
al-la;{'MAR.TU[westerner]', 'unud[cowherd]', 'X', 'lu[person]'}
al-la#;{'FN'}
al-la#-mu;{'ud[sun]'}
al-la-gi-na;{'sukkal[secretary]'}
al-la-mu;{'santanak[gardener]', 'PN', 'šuʾi[barber]', 'kurušda[fattener]', 'sukkal[secretary]', 'nubanda[overseer]', 'X', 'hazanum[mayor]'}
al-la-ša-ru-um;{'dumumunus[daughter]', 'emeda[nursemaid]'}
am-ma-ti;{'nubanda[overseer]'}
am-ne-zu;{'engar[farmer]'}
am?-ti;{'dumu[child]'}
ama-[zi-mu];{'šabra[administrator]'}
ama-bara₂;{'nin[sister]'}
ama-na-a;{'nubanda[overseer]'}
ama-zi-mu;{'šabra[administrator]'}
amar-ku₃;{'AN'}
amar-ma-ma;{'nubanda[overseer]', 'damgar[merchant]'}
amar-suen;{'e[house]'}
amar-zi-mu;{'šabra[administrator]'}
amar-{d}da-mu;{'dumu[child]', 'ensik[ruler]'}
amar-{d}suen#;{'GN'}
amar-{d}šul-gi-ra;{'FN'}
an-da-TAG#?;{'mu[year]'}
an-e₂-il;{'MAR.TU[westerner]'}
an-hi-ir;{'kurušda[fattener]', 'ŋal[be]'}
an-na-hi-li;{'šarrabdu[administrator]'}
an-na-hi-li-bi;{'kurušda[fattener]'}
an-na-tal;{'lu[person]'}
an-ne!;{'PN'}
an-ne₂;{'kurušda[fattener]', 'kuš[official]'}
an-ne₂-ba;{'AN'}
an-ne₂-ba-ab-du₇;{'ummia[expert]'}
an-ne₂-ba-du₇;{'kurušda[fattener]'}
an-nu#-ni-tum#;{'GN'}
an-nu-ni-tum;{'hursaŋ[mountain]', 'GN', 'šag[heart]'}
an-ti-a;{'lu[person]'}
aq-ba-ni;{'lu[person]'}
ar#-ši-ah#;{'šabra[administrator]'}
ar-bi-ma-az-bi;{'lu[person]'}
ar-bi₂-gi₄;{'agaʾus[soldier]'}
ar-pa₂-tal;{'lu[person]'}
ar-pa₂-tal?;{'lu[person]'}
ar-wi-lu-ug-bi;{'lu[person]'}
ar-za-nu-um;{'X'}
ar-ši-[ah];{'ensik[ruler]'}
ar-ši-ah;{'šabra[administrator]', 'nubanda[overseer]', 'ensik[ruler]', 'lu[person]'}
ar-ši-ah!;{'ensik[ruler]'}
ar-ši-ah#;{'šabra[administrator]'}
ar-ši-ku;{'lu[person]'}
ar-ši-ku-uk-bi;{'lu[person]'}
az-bu;{'AN'}
aš₂-nun{ki}-ka;{'GN'}
a₂!(DA)-ge₆-il₂-la;{'FN'}
a₂#-ge₆#-ba-a;{'ud[sun]'}
a₂#-ge₆-il₂-[la;{'u'}
a₂#-ni-a₂;{'sukkal[secretary]'}
a₂-[ni]-a₂;{'sukkal[secretary]'}
a₂-an-za;{'kugbabbar[silver]'}
a₂-bi₂-la-num₂;{'MAR.TU[westerner]', 'nubanda[overseer]'}
a₂-bi₂-la-ti;{'nubanda[overseer]'}
a₂-bi₂-la-tum;{'kurušda[fattener]'}
a₂-bi₂-la-tum#;{'kurušda[fattener]'}
a₂-bi₂-la-ša;{'ensik[ruler]'}
a₂-bi₂-li₂;{'u', 'u[and]', 'kurušda[fattener]', 'FN', 'agaʾus[soldier]', 'dikud[judge]', 'ragaba[rider]', 'dumu[child]', 'kul[collect]', 'ad.KID[weaver]', 'kuš[official]'}
