p_index,people_involved
118559,"[(('šu-ma-mi-tum', 'None'), ""['recipient']"", 1), (('in-ta-e₃-a', 'None'), ""['source']"", 418), (('lugal-me-lam₂', 'None'), ""['source']"", 15), (('šu-{d}iškur', 'None'), ""['source', 'recipient', 'intermediary']"", 3), (('šu-{d}iškur', 'None'), ""['source', 'recipient', 'intermediary']"", 4), (('šu-{d}iškur', 'None'), ""['source', 'recipient', 'intermediary']"", 5), (('šu-{d}iškur', 'None'), ""['source', 'recipient', 'intermediary']"", 6)]"
105197,"[(('ARAD₂-mu', 'None'), ""['representative']"", 88), (('zu-ba-ga', 'PN'), ""['source']"", 1), (('ad-da-kal-la', 'dubsar[scribe]'), ""['intermediary']"", 3), (('i₃-li₂-be-li₂', 'sukkal[secretary]'), ""['intermediary']"", 1), (('šu-eš₁₈-dar', 'sukkal[secretary]'), ""['intermediary']"", 0)]"
104184,"[(('ab-ba-sa₆-ga', 'None'), ""['source']"", 489), (('ur-ku₃-nun-na', 'None'), ""['intermediary']"", 50), (('lu₂-[x]', 'None'), ""['source']"", 0), (('ta₂-hi-iš-a-tal', 'None'), ""['source']"", 18), (('na-lu₅', 'None'), ""['source']"", 150)]"
113017,"[(('{d}utu-ba-ni', 'ensik[ruler]'), ""['recipient']"", 2), (('šu-e₂-a', 'šabra[administrator]'), ""['recipient']"", 1), (('nu-ur₂-{d}iškur', 'None'), ""['recipient']"", 19), (('ARAD₂-mu', 'ensik[ruler]'), ""['recipient']"", 0), (('ha-ba-lu₅-ge₂', 'ensik[ruler]'), ""['recipient']"", 0), (('ur-{d}iškur', 'šabra[administrator]'), ""['recipient']"", 1)]"
106068,"[(('nu-ur₂-{d}suen', 'None'), ""['intermediary']"", 39), (('nu-ur₂-{d}suen', 'None'), ""['intermediary']"", 40), (('ARAD₂-mu', 'None'), ""['representative']"", 108), (('{d}šul-gi-iri-mu', 'None'), ""['recipient']"", 108), (('ur-ku₃-nun-na', 'PN'), ""['source']"", 11)]"
320512,"[(('{d}šu-{d}suen-i₃-pa₂-la-ah-{d}en-lil₂', 'šagia[cup-bearer]'), ""['representative']"", 2), (('ARAD₂-mu', 'None'), ""['representative']"", 703), (('ARAD₂-mu', 'None'), ""['representative']"", 704), (('lu₂-du₁₀-ga', 'šagia[cup-bearer]'), ""['representative']"", 3), (('{d}suen-a-bu-šu', 'šagia[cup-bearer]'), ""['representative']"", 30), (('{d}suen-a-bu-šu', 'šagia[cup-bearer]'), ""['representative']"", 31)]"
128909,"[(('{d}nanše-GIR₂@g-gal', 'None'), ""['representative']"", 118), (('la-la-mu', 'sukkal[secretary]'), ""['intermediary']"", 9), (('ARAD₂-mu', 'None'), ""['representative']"", 473), (('{d}šul-gi-a-a-mu', 'PN'), ""['source']"", 21), (('ad-lal₃', 'šagia[cup-bearer]'), ""['intermediary']"", 0)]"
332346,"[(('a-hu-we-er', 'PN'), ""['source']"", 21), (('ur-{d}šar-ru-gin₇', 'sukkal[secretary]'), ""['intermediary']"", 2), (('ARAD₂-mu', 'None'), ""['representative']"", 745), (('{d}šul-gi-iri-mu', 'None'), ""['representative']"", 897), (('a-hu-ni', 'šagia[cup-bearer]'), ""['representative']"", 27)]"
127397,"[(('ba-ba-an-še-en', 'šagia[cup-bearer]'), ""['representative']"", 1), (('lugal-i₃-mah', 'šagia[cup-bearer]'), ""['intermediary']"", 2), (('ARAD₂-mu', 'None'), ""['representative']"", 456), (('{d}šul-gi-a-a-mu', 'PN'), ""['source']"", 14), (('ur-{d}ba-ba₆', 'muhaldim[cook]'), ""['intermediary']"", 28)]"
129461,"[(('{d}šul-gi-ma-ti', 'None'), ""['new owner']"", 1), (('ur-{d}ba-ba₆', 'None'), ""['new owner']"", 165), (('ARAD₂-mu', 'None'), ""['new owner']"", 484), (('a-a-kal-la', 'None'), ""['representative']"", 109), (('ur-[...]', 'None'), ""['new owner']"", 7), (('a-mur-e₂-a', 'None'), ""['new owner']"", 5), (('šeš-zi-mu', 'None'), ""['new owner']"", 6), (('hu-un-ha-ab-ur', 'None'), ""['new owner']"", 2)]"
145042,"[(('ur-{d}en-lil₂-la₂', 'None'), ""['source']"", 48), (('{d}nanna-ku₃-zu', 'None'), ""['source']"", 8), (('{d}nanna-ku₃-zu', 'None'), ""['source']"", 9), (('{d}suen-ba-ni', 'None'), ""['intermediary']"", 4), (('{d}suen-ba-ni', 'None'), ""['intermediary']"", 5)]"
145571,"[(('ur-{d}hendur-sag', 'None'), ""['new owner']"", 1), (('lu₂-{d}nanna', 'None'), ""['new owner']"", 30), (('a-a-kal-la', 'None'), ""['representative']"", 142), (('te-te', 'None'), ""['new owner']"", 3), (('a-bu-ni', 'None'), ""['new owner']"", 10)]"
110469,"[(('ab-ba-gi-na', 'None'), ""['source']"", 0), (('da-num₂', 'None'), ""['source']"", 0), (('da-num₂', 'None'), ""['source']"", 1), (('ulu₃-di', 'None'), ""['recipient']"", 0), (('i₃-li₂-mi-la-ad', 'None'), ""['source']"", 0), (('šu-i₃-li₂', 'None'), ""['source']"", 10)]"
108668,"[(('ur-{d}šul-pa-e₃', 'muhaldim[cook]'), ""['representative']"", 1), (('u₂-la-i₃-li₂-iš', 'None'), ""['representative']"", 2), (('ARAD₂-mu', 'None'), ""['representative']"", 176), (('u₂-ta₂-mi-šar-ra-am', 'None'), ""['representative']"", 51), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 71), (('ur-{d}ba-ba₆', 'muhaldim[cook]'), ""['representative']"", 10)]"
124447,"[(('ur-nigar{gar}', 'None'), ""['new owner']"", 403), (('ur-{d}en-lil₂-la₂', 'None'), ""['new owner']"", 23), (('ur-{d}suen', 'dumu[child]'), ""['new owner']"", 7), (('nir-i₃-da-gal₂', 'None'), ""['new owner']"", 9), (('ARAD₂-u₃', 'None'), ""['new owner']"", 2), (('lu₂-sa₆-ga', 'None'), ""['new owner']"", 38), (('šeš-kal-la', 'None'), ""['new owner']"", 15)]"
129507,"[(('lugal-ezem', 'None'), ""['source']"", 17), (('sa₃-si₂', 'None'), ""['source']"", 49), (('a-a-dingir', 'None'), ""['source']"", 32), (('a-a-dingir', 'None'), ""['source']"", 33), (('šu-i₃-li₂', 'None'), ""['intermediary']"", 21), (('šu-i₃-li₂', 'None'), ""['intermediary']"", 22)]"
105185,"[(('zu-ba-ga', 'None'), ""['source']"", 19), (('ARAD₂-mu', 'None'), ""['representative']"", 84), (('ad-da-kal-la', 'dubsar[scribe]'), ""['intermediary']"", 1), (('{d}nanna-i₃-gi', 'sukkal[secretary]'), ""['intermediary']"", 0), (('a-hu-ni', 'šagia[cup-bearer]'), ""['representative']"", 3)]"
332034,"[(('ur-mes', 'None'), ""['source']"", 205), (('ur-ku₃-nun-na', 'None'), ""['intermediary']"", 523), (('ur-ku₃-nun-na', 'None'), ""['intermediary']"", 524), (('ur-šuš₃-{d}ba-ba₆', 'None'), ""['intermediary']"", 1), (('lu₂-{d}inanna', 'None'), ""['intermediary']"", 13), (('a-hu-wa-qar', 'None'), ""['source']"", 10), (('nam-ha-ni', 'None'), ""['source']"", 11), (('lu₂-{d}nanna', 'None'), ""['intermediary']"", 26), (('ur-lugal', 'None'), ""['source']"", 9), (('giri₃-ni', 'None'), ""['source']"", 5), (('igi-dingir-še₃', 'None'), ""['intermediary']"", 1), (('du₁₀-i₃-li₂', 'None'), ""['intermediary']"", 7), (('hu-la-al', 'None'), ""['intermediary']"", 6)]"
