,name,role,profession,p_index
570,ur-{d}lamma,reciever,NA,122952
571,lu₂-dingir-ra-ta,source,NA,123395
572,ur-nigar{gar},reciever,NA,123395
573,lu₂-uru₁₁{ki}-ta,source,NA,123426
574,a₂-bi₂-la-tum,reciever,NA,123426
575,na-lu₅-ta,source,NA,123445
576,ur-nigar{gar},reciever,NA,123445
577,lu₂-dingir-ra-ta,source,NA,123614
578,ur-nigar{gar},reciever,NA,123614
579,lu₂-dingir-ra-ta,source,NA,123634
580,ur-nigar{gar},reciever,NA,123634
581,lu₂-dingir-ra-ta,source,NA,123743
582,ur-nigar{gar},reciever,NA,123743
583,u₂-ta₂-mi-šar-ra-am-ta,source,NA,124249
584,[{d}]šul#-gi-iri#-mu#,reciever,NA,124249
585,šu-ma-ma-ta,source,NA,124272
586,{d}šul-gi-iri-mu,reciever,NA,124272
587,lu₂-dingir-ra-ta,source,NA,124476
588,ur-nigar{gar},reciever,NA,124476
589,lu₂-dingir-ra-ta,source,NA,124478
590,ur-nigar{gar},reciever,NA,124478
591,lu₂-dingir-ra-ta,source,NA,124479
592,ur-nigar{gar},reciever,NA,124479
593,{d}šul-gi-a-a-mu-ta,source,NA,124531
594,ur-nigar{gar},reciever,NA,124531
595,{d}šul-gi-a-a-mu-ta,source,NA,124534
596,ur-nigar{gar},reciever,NA,124534
597,a-ab-ba-ta,source,NA,124688
598,a-KA,reciever,NA,124688
599,lu₂-{d}nin-gir₂-su-ta,source,NA,124746
600,ur-ab-ba-x,reciever,NA,124746
601,ur-{d}šara₂-ta,source,NA,124832
602,a-kal-la,reciever,NA,124832
603,ur-ku₃-nun-na-ta,source,NA,125009
604,in-ta-e₃-a,reciever,NA,125009
605,ur-{d}lugal#-ušurₓ(|LAL.TUG₂|)-ta,source,NA,125048
