Word, Frequency, List of Sumerian Words
board, 1, ['eda']
bow, 1, ['pana']
boxwood, 1, ['taškarin']
break, 1, ['zir']
builder, 1, ['šidim']
burn, 1, ['bil']
buttocks, 1, ['dur', 'gudu']
calf, 1, ['amarga']
carnelian, 1, ['gug', 'zagul']
cart, 1, ['margida']
cat, 1, ['sua']
chaff, 1, ['e']
charcoal, 1, ['ubila']
chariot, 1, ['gigir']
cloister, 1, ['ŋipar']
comb, 1, ['garig']
come on!, 1, ['gana']
companion, 1, ['taba']
complete, 1, ['til']
container, 1, ['kabkul']
count, 1, ['šid']
decoration, 1, ['ugunu']
diminish, 1, ['be']
divide, 1, ['hal']
diviner, 1, ['maššugidgid']
dove, 1, ['tugur']
dragon, 1, ['ušumgal']
duckling, 1, ['amarsag']
dwelling, 1, ['unu', 'kituš']
ear, 1, ['ŋeštug']
encircle, 1, ['niŋin']
enter, 1, ['kur']
entirety, 1, ['guʾen']
expert, 1, ['ummia']
extra, 1, ['niŋdirig']
first, 1, ['dubsaŋ']
fish-storage, 1, ['masar']
forest, 1, ['tir']
foundation, 1, ['suhuš']
fox, 1, ['kaʾa']
functionary, 1, ['urur']
glue, 1, ['šegin']
grave, 1, ['kimah']
guarantee, 1, ['šuduʾa']
hand-mill, 1, ['ara']
harvest, 1, ['buru']
helper?, 1, ['katab']
heron, 1, ['igira']
if, 1, ['uda', 'tukum']
lapis, 1, ['zagin']
levee, 1, ['eg']
lion, 1, ['urmah']
live, 1, ['til']
load, 1, ['gun']
lower, 1, ['kita']
man, 1, ['na']
manacles, 1, ['ala']
material, 1, ['zu']
mayor, 1, ['hazanum']
meat house, 1, ['eʾuzu']
midrib, 1, ['zena']
mouse, 1, ['peš']
nose-rope, 1, ['kab']
oath, 1, ['namerim']
one, 1, ['aš']
possessions, 1, ['niŋŋala']
price, 1, ['niŋsam']
prison, 1, ['egula']
pure, 1, ['dan']
put, 1, ['sig']
quotient, 1, ['banda']
raise, 1, ['il']
raven, 1, ['uga']
rear, 1, ['aga']
recorder, 1, ['saŋ.DUN₃']
remainder, 1, ['ibtag']
requisitions, 1, ['niŋdab']
rodent, 1, ['girgir']
root, 1, ['ur']
rushes, 1, ['aški']
sanctum, 1, ['barag']
scrape, 1, ['hu']
seek, 1, ['kiŋ']
shade, 1, ['andul']
sheaf, 1, ['zar', 'gula']
shed?, 1, ['wadaltum']
sheepfold, 1, ['amaš']
snake, 1, ['muš']
snap, 1, ['hum']
sound, 1, ['wuwa']
soup, 1, ['tu']
sow, 1, ['uru']
spadix, 1, ['aʾan']
sparrow, 1, ['buru']
statue, 1, ['alan']
stele, 1, ['narua']
stone-cutter, 1, ['zadim']
street, 1, ['sila']
supplies, 1, ['niŋgude']
syrup, 1, ['lal']
tablet, 1, ['dub']
tears, 1, ['er']
treasure, 1, ['gil']
vessel, 1, ['anzam', 'ešda', 'gurgur', 'kunrim', 'šušŋar', 'tunla']
voice, 1, ['gu']
weep, 1, ['šeš']
what?, 1, ['ana']
whip, 1, ['usan']
workshop, 1, ['ŋeškiŋti']
write, 1, ['sar']
youth, 1, ['šul']
~boat, 1, ['ara']
~dairy, 1, ['gašea']
~plow, 1, ['eme']
~ritual, 1, ['niŋbiluda']
