name,role,profession,p id,year,processed year
a-hu-ni,['recipient'],None,101315,Amar-Suen.01.10.29,67.1029
ab-ba-sa₆-[ga],['source'],None,101316,Amar-Suen.03.08.17,69.0817
ur-ku₃-nun-na,['recipient'],None,101317,Amar-Suen.03.07.00,69.0700
ab-ba-sa₆-ga,['recipient'],None,101318,Amar-Suen.05.00.00,71.0000
ab-ba-sa₆-ga,['recipient'],None,101319,Amar-Suen.05.04.08,71.0408
lugal-amar-ku₃,['source'],None,101320,Amar-Suen.08.02.07,74.0207
u₂-[ta₂]-mi-šar-ra-am,['recipient'],None,101320,Amar-Suen.08.02.07,74.0207
sa₃-si₂,['source'],None,101321,Amar-Suen.08.10.00,74.1000
a-hu-ni-šu,['recipient'],None,101321,Amar-Suen.08.10.00,74.1000
in-ta-e₃-a,['recipient'],None,101322,Shu-Suen.00.07.20,75.0720
nu-ur₂-{d}suen,['intermediary'],dubsar[scribe],101322,Shu-Suen.00.07.20,75.0720
nu-ur₂-{d}suen,['intermediary'],None,101322,Shu-Suen.00.07.20,75.0720
{d}šul-gi-a-a-mu,['recipient'],None,101324,Amar-Suen.03.04.12,69.0412
ka₅-a-mu,['source'],None,101325,Shu-Suen.02.05.00,77.0500
lu₂-uš-gi-na,['intermediary'],None,101326,"Shu-Suen.02.06.09, Shu-Suen.02.06.10",77.0609
i₃-pa₃-da,['intermediary'],None,101326,"Shu-Suen.02.06.09, Shu-Suen.02.06.10",77.0609
in-ta-e₃-a,['source'],None,101326,"Shu-Suen.02.06.09, Shu-Suen.02.06.10",77.0609
{d}en-lil₂-la₂,['recipient'],None,101327,"Shu-Suen.02.09.08, Shu-Suen.02.09.26",77.0908
ka₅-a-mu,['source'],None,101328,Shu-Suen.02.11.00,77.1100
al-la-mu,['intermediary'],None,101328,Shu-Suen.02.11.00,77.1100
in-ta-e₃-a,['source'],None,101329,Shu-Suen.03.01.25 (us2 year),78.0125
in-ta-e₃-a,['source'],None,101330,"Shu-Suen.03.06.25, Shu-Suen.03.06.26",78.0625
in-ta-e₃-a,['source'],None,101332,Shu-Suen.03.09.00,78.0900
in-ta-e₃-a,['recipient'],None,101333,Shu-Suen.04.02.15 (us2 year),79.0215
{d}nanna-ma-ba,['intermediary'],dubsar[scribe],101333,Shu-Suen.04.02.15 (us2 year),79.0215
na-we-er-dingir,['source'],None,101334,Shu-Suen.04.03.00 (us2 year),79.0300
ta₂-hi-iš-a-tal,['recipient'],None,101334,Shu-Suen.04.03.00 (us2 year),79.0300
ta₂-hi-iš-a-tal,['recipient'],None,101334,Shu-Suen.04.03.00 (us2 year),79.0300
{d}šul-gi-si₂-im-ti,['new owner'],None,101335,Shulgi.38.11.00 (us2 year),56.1100
a₂-bi₂-li₂-a,['recipient'],None,101335,Shulgi.38.11.00 (us2 year),56.1100
in-ta-e₃-a,['source'],None,101336,"Shu-Suen.06.05.01, Shu-Suen.06.05.26",81.0501
du-u₂-du,['recipient'],None,101336,"Shu-Suen.06.05.01, Shu-Suen.06.05.26",81.0501
a₂-bi₂-li₂-a,['recipient'],None,101337,Shulgi.38.08.00 (us2 year),56.0800
