name,profession,p index
šar-ru-um-ba-ni,sipad[shepherd],102193
nu-ur₂-{d}iškur,dubsar[scribe],102195
u₄-nu₂-a-ka-na,ki[place],102197
lu₂-{d}nanna,šabra[administrator],102199
{d}[en-lil₂]-la₂#,dim[create],102308
ur#-{d#}lamma,ensik[ruler],102314
ur-{d}lamma,ensik[ruler],102314
{d}en-lil₂#-la₂,dim[create],102314
ur-nigar{gar},kuš[official],102339
ip-hur,kuš[official],102339
{d}nanna-ma-ba,dubsar[scribe],102340
la-na,kurušda[fattener],102341
PI-bi₂-il,MAR.TU[westerner],102343
ur-{d}suen,ensik[ruler],102344
ab-ba-sa₆-ga,PN,102345
ab-ba-sa₆-ga,PN,102346
ab-ba-sa₆-ga-<ta>,PN,102348
ab-ba-sa₆-ga,PN,102351
{d}nun-x,u,102352
na#-lu₅,PN,102352
ARAD₂-{d}nanna,muhaldim[cook],102353
ur-{d}nin-gubalag,nar[musician],102353
in-ta-e₃-a,PN,102353
{d}nanna-ma-ba,dubsar[scribe],102353
hu-un-hur-ti,lu[person],102354
{d}nanna-kam,sukkal[secretary],102354
nu-ur₂-{d}iškur,PN,102354
zu-u₂-zu,šarrabdu[administrator],102354
lu₂-dingir-ra,dumu[child],102360
lu₂-dingir-ra,dumu[child],102360
mu-ša,sig[clear],102361
[...]-da,dubsar[scribe],102365
šu-eš₁₈-dar,FN,102376
šeš-da-da,FN,102377
ri₂-ba-a,ensik[ruler],102377
wa-ta₂-ru-um,FN,102378
ur-{d}ba-ba₆,muhaldim[cook],102378
nu-ur₂-{d}suen,dubsar[scribe],102378
AN,u,102456
en-bara₂,šagia[cup-bearer],102457
na-sa₆,PN,102459
lugal-ku₃]-zu,ensik[ruler],102509
i-di₃-a,dikud[judge],102526
ša-lim-be-li₂,nubanda[overseer],102526
en-ša₃-ku₃-ge,en[priest],102526
na-du-be-li₂,MAR.TU[westerner],102526
ur-mes,šabra[administrator],102526
lu₂-{d}asar-lu₂-hi,šabra[administrator],102526
a-mu#-a,kul[collect],102526
nam-zi-tar-ra,ensik[ruler],102566
[dam]-ki-na,šeš[brother],102573
na-sa₆,PN,102573
gu₃-de₂-[a],ensik[ruler],102574
bu-ku-šum,šabra[administrator],102574
gu₃-de₂-a,ensik[ruler],102574
ur-tum-ma-al,šarrabdu[administrator],102585
{d}nin#?,AN,102627
na-lu₅,PN,102627
na-ap-la-num₂,MAR.TU[westerner],102631
lu₂-{d}nanna,šabra[administrator],102638
ur#-{d}ba-ba₆,unud[cowherd],102638
ur-{d}a-šar₂,nubanda[overseer],102697
na-sa₆,PN,102702
ar-wi-lu-ug-bi,lu[person],102704
hu-li-bar,lu[person],102704
lugal-inim-gi-na,kaš[runner],102704
a-hu-ni,PN,102704
dingir-dan,sukkal[secretary],102712
la-na,kurušda[fattener],102715
nu-ur₂-{d}suen,dubsar[scribe],102716
nu-ur₂-{d}iškur,dubsar[scribe],102717
lugal-a₂-zi-da,šabra[administrator],102718
nu-ur₂-{d}suen,dubsar[scribe],102718
ur-ku₃-nun-na,PN,102719
uri₅{ki}-ki-du₁₀,muhaldim[cook],102723
šu-ur-šu,muhaldim[cook],102723
ur-mes,ensik[ruler],102825
nu-ur₂-{d}suen,dubsar[scribe],102825
lugal-ku₃-zu,dubsar[scribe],102847
šu-ni-ki-ib,lu[person],102850
za-ah,gug[carnelian],102855
{d}en-lil₂-la₂,dim[create],102858
maš-tur,šagia[cup-bearer],102859
ur-nigar{gar},sipad[shepherd],102866
ur-e₂-an-na,nubanda[overseer],102870
ur-ku₃-nun-na-ka#,ŋar[place],102874
lu₂-{d}inanna,šukud[fisherman],102876
bur-ma-ma,damgar[merchant],102876
ab#-ba-sa₆-ga-ta#,PN,102876
a-a-kal-la,muhaldim[cook],102881
na-lu₅,PN,102881
{d}i-bi₂-{d}suen,lugal[king],102883
ur-{d}ba-ba₆,šabra[administrator],102888
ur-ku₃-nun-na,PN,102888
la-na,kurušda[fattener],102890
lugal-a₂-zi-da,šabra[administrator],102891
{d}nanna-ma-ba,dubsar[scribe],102891
la-na,kurušda[fattener],102893
{d}i-bi₂-[{d}suen],lugal[king],102899
ur-{d}nin-gubalag,nar[musician],102900
ba-za-za,sukkal[secretary],102900
nu-ur₂-{d}suen,dubsar[scribe],102900
bur-ma-ma,damgar[merchant],102901
la-ma-ha-ar,šagia[cup-bearer],102901
nu-ur₂-{d}suen,dubsar[scribe],102901
{d}en-ki,X,102912
lu₂-{d}nanna,šabra[administrator],102912
ur-šu-ga-lam-ma,dubsar[scribe],102912
lu₂-bala-sa₆-ga,kuš[official],102917
na-sa₆,PN,102919
ab-ba-sa₆-ga,PN,102921
ur-{d}lamma,lu[person],102926
{d}nanna-ma-ba,dubsar[scribe],102927
ab-ba-sa₆-ga,PN,102932
lugal-nir-gal₂,šabra[administrator],102933
suhuš-gi-in,dumu[child],102935
wa-ta₂-ru-um,FN,102939
gu₃-de₂-a,ensik[ruler],102939
{d}šara₂-kam,ensik[ruler],102939
ur-{d}iškur,ensik[ruler],102939
a-da-lal₃,lu[person],102939
bu-la-mu,unud[cowherd],102947
a₂-u₂-u₂,sipad[shepherd],102947
na-sa₆,PN,102947
ša₃-da-an,nubanda[overseer],102954
ra#-ši#,lu[person],102956
tah-ša-tal,ragaba[rider],102957
šu-ku-bu-um,sukkal[secretary],102959
ab-ba-sa₆-ga,PN,102967
ab-ba-[sa₆]-ga,PN,102974
lugal-amar-ku₃,PN,102976
ur-{d}tilla₃,FN,102978
ab-ba-sa₆-ga,PN,102978
{d}en-lil₂-zi-ša₃-gal₂,PN,102998
i-zu-sa-bar,dubsar[scribe],102998
la-na,kurušda[fattener],103000
lu₂-{d}nin-gir₂-su,kurušda[fattener],103001
la-na,kurušda[fattener],103002
{d}nanna-ma-ba,dubsar[scribe],103010
wa-ta₂-ru-um,FN,103015
ur-{d}ba-ba₆,muhaldim[cook],103015
ab-ba-sa₆-ga,PN,103015
da-a-a-ti,dubsar[scribe],103015
ab-ba-sa₆-ga,PN,103016
lu₂-sa₆-ga,sukkal[secretary],103018
lugal-mu,X,103022
ba-ba-an-še-[en,šagia[cup-bearer],103036
ab-ba-sa₆-[ga],PN,103036
ši-šar-ra-at,nar[musician],103052
ab-ba-sa₆-ga,PN,103052
ur-{d}lamma,ensik[ruler],103054
lu₂-dingir-ra,dumu[child],103054
{d}nanna-zi-ša₃-gal₂,ensik[ruler],103055
nig₂-mu-mu-kal-le,ragaba[rider],103060
lu₂-ša-lim,dubsar[scribe],103070
ur-ki-ku₃-ga,nar[musician],103075
ur-{d}nin-gubalag,nar[musician],103084
lu₂-bala-sa₆-ga,kuš[official],103087
aq-ba-ni,lu[person],103089
na-sa₆,PN,103089
ha-ba-lu₅-ge₂,ensik[ruler],103094
lu₂-{d}nanna,u,103099
iš-pu-ga-ru,ugula[overseer],103106
ku₃-{d}nanna,sukkal[secretary],103110
nin-ka,gub[stand],103110
nu-ur₂-{d}iškur,sukkal[secretary],103110
ab-ba-sa₆-ga,u,103110
i-za-nu-um,nubanda[overseer],103112
lu-ze₂-um,MAR.TU[westerner],103117
dingir-dan,sukkal[secretary],103117
šu-da-da,dumu[child],103119
lu₂-dingir-ra,šabra[administrator],103119
nam-ti-ab,šagia[cup-bearer],103121
ur-sa₆-ga,sukkal[secretary],103121
a₂-{d}inanna,dumu[child],103121
ab-ba-a,agaʾus[soldier],103121
a-bu-ni,šakkanak[general],103121
lugal-inim-gi-na,sukkal[secretary],103121
ur-{d}lamma,ensik[ruler],103122
ab-ba-sa₆-ga,PN,103123
da-a-a-ti,dubsar[scribe],103123
nam-mah-{d}ba-ba₆,ragaba[rider],103125
ab-ba-sa₆-ga,PN,103125
ur-šar-ru-gin₇,sukkal[secretary],103129
hu-la-al,dubsar[scribe],103129
i-din-er₃-ra,PN,103132
i-din-dingir,šagia[cup-bearer],103132
ur-{d}ba-ba₆,dubsar[scribe],103133
ur-{d}ba-ba₆,šabra[administrator],103134
SI-A-a,nubanda[overseer],103136
ku-ru-ub-er₃-ra,nubanda[overseer],103136
am-ma-ti,nubanda[overseer],103136
na-sa₆,PN,103136
nig₂-pa,PN,103141
ša₃-kal,kugbabbar[silver],103141
{d}x]-{d}suen,u,103141
lugal-im-ri-a,dubsar[scribe],103145
ur-{d}ba-ba₆,muhaldim[cook],103156
ur-{d}ba-ba₆,dubsar[scribe],103156
šar-ru-um-i₃-li₂,šagia[cup-bearer],103157
na-lu₅,PN,103157
ur-{d}ba-ba₆,muhaldim[cook],103161
lu₂-u₁₈-um,niga[fattened],103168
en-ki,AN,103172
lu₂-{d}nin-šubur,šabra[administrator],103172
lugal-nam-tar-re,sukkal[secretary],103172
ab-ba-sa₆-ga,PN,103172
na-sa₆,PN,103173
dingir-ba-ni,sipad[shepherd],103176
na-sa₆,PN,103176
im-ti-dam,dubsar[scribe],103177
er₃-ra-ba-ni,ragaba[rider],103177
ŠIM?,gu[neck],103177
ur-{d}lamma,šeš[brother],103177
na-ap-li₂-is?,malah[sailor],103177
{d}amar-{d}suen,e[house],103181
ab-ba-sa₆-ga,PN,103181
lu₂-bala-sa₆-[ga],šabra[administrator],103184
šeš-kal-la,udul[herdsman],103184
{d}en-ki,GN,103186
lugal-amar-ku₃-ta#,PN,103191
šeš-kal-la,ŋiri[foot],103200
šu-e₂-a,šabra[administrator],103203
šar-ru-um-i₃-li₂,šabra[administrator],103203
wa-ta₂-ru-um,FN,103205
wa-ta₂-ru-um,FN,103206
ur-{d}ba-ba₆,muhaldim[cook],103209
ab-ba-sa₆-ga,PN,103209
da-a-a-ti,dubsar[scribe],103209
ur-{d}tilla₃,saŋŋa[official],103210
ur-{d}ba-ba₆,dumu[child],103211
{d}šul-<gi>-a-a-mu-[ta,AN,103211
na-sa₆,PN,103211
ur-{d}ba-ba₆-[ta,PN,103211
ur-{d}suen,AN,103211
x-dingir-ra,dumu[child],103211
lu₂-{d}en-lil₂,AN,103211
ur-{d}ba-ba₆,engar[farmer],103213
maš-tur,šagia[cup-bearer],103224
zi-ga-am₃,niŋ₂.ŠID[account],103224
al-la#-mu,ud[sun],103224
nu-ur₂-i₃-li₂,dumu[child],103228
lu₂-{d}ma-lik,gin[firm],103229
ur-{d}ba-ba₆,dumu[child],103229
ur-šu-ga-lam-ma,PN,103231
nu-hi-lum,lu[person],103232
ab-ba-sa₆-ga,dumu[child],103233
da-a-a-ti,dubsar[scribe],103238
nu-ur₂-{d}suen,dubsar[scribe],103240
na-sa₆,PN,103242
a-mur-dingir,ragaba[rider],103244
nu-ur₂-{d}suen,šatam[official],103245
šu-e₂-a,kuš[official],103248
in-ta-e₃-a,PN,103257
ra-ši,lu[person],103259
a-ri-du-bu-uk,lu[person],103259
{d}nanna-ki-ag₂,šabra[administrator],103259
lugal-inim-gi-na,sukkal[secretary],103259
ab-ba-sa₆-ga,PN,103259
en#-mah-gal-an#-na,en[priest],103259
a-hu-um-dingir,lu[person],103260
ab-ba-sa₆-ga,PN,103260
ab-ba-sa₆-ga,PN,103262
a-mi-ir-{d}šul-gi,FN,103263
ab-ba-sa₆-ga,PN,103263
ša₃-gu₄,PN,103270
na-sa₆,PN,103270
ri-ba-ga-da,ragaba[rider],103271
sipa-si-ni,šagia[cup-bearer],103277
a-mur-e₂-a,šakkanak[general],103282
lu₂-dingir-[x],dumu[child],103282
nu-ur₂-{d}suen,dubsar[scribe],103291
lu₂-u₁₈-um,niga[fattened],103293
nu-ur₂-{d}suen,dubsar[scribe],103293
kas₃-pu-ša,šagia[cup-bearer],103294
ur-ku₃-[nun-na,PN,103294
na-ap-la-num₂,MAR.TU[westerner],103298
nu-uk-ra-nu-um,MAR.TU[westerner],103298
na-sa₆,PN,103298
a₂-an-za,kugbabbar[silver],103308
{d}suen-a-bu-šu,šagia[cup-bearer],103324
kas₃-pu-ša,šagia[cup-bearer],103324
