,Name,id_word,CDLI No,role,profession,Original date,Converted Date
42642,{d}šul-gi-a-a-mu-ta[]PN,P133989.13.2,P133989,source,,AS03 - 01 - 14,69.01140000000001
42643,ur-nigar{gar}[]PN,P133989.14.1,P133989,recipient,,AS03 - 01 - 14,69.01140000000001
42644,{d}amar-{d}suen[]PN,P133989.17.2,P133989,,lugal[king]N,AS03 - 01 - 14,69.01140000000001
42645,{d}en-lil₂-la₂[]PN,P133989.17.5,P133989,,,AS03 - 01 - 14,69.01140000000001
42646,{d}šul-gi-a-a-mu-ta[]PN,P133990.14.2,P133990,source,,AS04 - 01 - 14,70.01140000000001
42647,{d}šul-gi-iri-mu[]PN,P133990.15.1,P133990,recipient,,AS04 - 01 - 14,70.01140000000001
42648,{d}en-lil₂-la₂[]PN,P133990.18.6,P133990,,,AS04 - 01 - 14,70.01140000000001
42649,{d}šul-gi-a-a-mu-ta[]PN,P133991.11.2,P133991,source,,AS04? - 04 - 04,0.0404
42650,{d}šul-gi-iri-mu[]PN,P133991.12.1,P133991,recipient,,AS04? - 04 - 04,0.0404
42651,{d}šul-gi-na-da[]PN,P133992.6.2,P133992,intermediary,,AS05 - 04 - 29,71.0429
42652,šu-ma-ma[]PN,P133992.7.1,P133992,,,AS05 - 04 - 29,71.0429
42653,ab-ba-sa₆-ga-ta[]PN,P133992.11.2,P133992,source,,AS05 - 04 - 29,71.0429
42654,ab-ba-sa₆-ga-ta[]PN,P133993.14.3,P133993,source,,AS08 - 06 - 18,74.0618
42655,en-nun-e-{d}amar-{d}suen-ra-ki-ag₂[]PN,P133993.17.2,P133993,,en[priest]N,AS08 - 06 - 18,74.0618
42656,a-za[]PN,P133994.7.2,P133994,intermediary,lu[person]N,AS05 - 02 - 00,71.02
42657,in-ta-e₃-a-ta[]PN,P133995.5.2,P133995,source,,AS07 - 08 - 00,73.08
42658,nu-ur₂-{d}suen[]PN,P133995.6.1,P133995,recipient,,AS07 - 08 - 00,73.08
42659,i-din-er₃-ra[]PN,P135451.8.2,P135451,,lu[person]N,SH40 - 00 - 00,58.0
42660,{d}šul-gi-i₃-li₂-ta[]PN,P135452.7.2,P135452,source,,SH47 - 10 - 00,65.1
42661,{d}en-lil₂-la₂[]PN,P135567.9.3,P135567,,,SS06 - 02 - 27,81.0227
42662,{d}en-ki[]PN,P135567.23.6,P135567,,,SS06 - 02 - 27,81.0227
