id,source,target,p_index,year,type,source's role,target's role
2887,203,1638,124083,{Amar-Suen.08.07.22},Undirected,{'source'},
2888,203,1638,103209,{Amar-Suen.08.09.18},Undirected,{'source'},
2889,203,1638,103973,{Amar-Suen.08.11.18},Undirected,{'source'},
2890,203,1688,103973,{Amar-Suen.08.11.18},Undirected,{'source'},
2891,1638,1688,103973,{Amar-Suen.08.11.18},Undirected,,
2892,203,1638,112169,{Amar-Suen.08.12.25},Undirected,{'source'},
2893,203,1638,124923,{Amar-Suen.09.02.22},Undirected,{'source'},
2894,203,2155,124923,{Amar-Suen.09.02.22},Undirected,{'source'},{'representative'}
2895,1638,2155,124923,{Amar-Suen.09.02.22},Undirected,,{'representative'}
2896,203,808,210321,{Amar-Suen.03.11.14},Undirected,{'source'},{'recipient'}
2897,203,1100,126079,{Amar-Suen.01.10.26},Undirected,{'source'},{'recipient'}
2898,203,1726,143996,{Amar-Suen.04.11.15},Undirected,{'source'},
2899,203,850,144115,{Amar-Suen.06.11.27},Undirected,{'source'},{'representative'}
2900,203,1726,144115,{Amar-Suen.06.11.27},Undirected,{'source'},
2901,850,1726,144115,{Amar-Suen.06.11.27},Undirected,{'representative'},
2902,203,347,145516,{Amar-Suen.08.12.08},Undirected,{'source'},
2903,203,1726,145516,{Amar-Suen.08.12.08},Undirected,{'source'},
2904,347,1726,145516,{Amar-Suen.08.12.08},Undirected,,
2905,203,808,115461,{Amar-Suen.06.10.24},Undirected,{'source'},{'recipient'}
2906,203,231,112226,{Amar-Suen.07.02.25},Undirected,{'source'},{'recipient'}
2907,203,1164,112226,{Amar-Suen.07.02.25},Undirected,{'source'},
2908,231,1164,112226,{Amar-Suen.07.02.25},Undirected,{'recipient'},
2909,203,808,126215,{Amar-Suen.07.09.10},Undirected,{'source'},{'recipient'}
2910,203,1164,126215,{Amar-Suen.07.09.10},Undirected,{'source'},
2911,808,1164,126215,{Amar-Suen.07.09.10},Undirected,{'recipient'},
2912,203,1164,134848,{Amar-Suen.08.09.00},Undirected,{'source'},
2913,203,1826,134848,{Amar-Suen.08.09.00},Undirected,{'source'},{'recipient'}
2914,1164,1826,134848,{Amar-Suen.08.09.00},Undirected,,{'recipient'}
2915,203,1164,126076,{Amar-Suen.08.09.19},Undirected,{'source'},
2916,203,1311,126076,{Amar-Suen.08.09.19},Undirected,{'source'},{'source'}
2917,1164,1311,126076,{Amar-Suen.08.09.19},Undirected,,{'source'}
2918,203,1164,115938,"{Amar-Suen.09.05.02, Amar-Suen.09.05.28}",Undirected,{'source'},
2919,203,1164,115938,"{Amar-Suen.09.05.02, Amar-Suen.09.05.28}",Undirected,{'source'},
2920,1164,1164,115938,"{Amar-Suen.09.05.02, Amar-Suen.09.05.28}",Undirected,,
2921,203,1702,131939,{Amar-Suen.05.08.01},Undirected,{'source'},"{'representative', 'source'}"
2922,203,2092,103908,{Amar-Suen.04.08.02},Undirected,{'source'},{'recipient'}
2923,203,744,144028,{Amar-Suen.04.06.12},Undirected,{'source'},{'intermediary'}
2924,203,203,407056,{Amar-Suen.09.04.16},Undirected,{'source'},{'source'}
2925,203,1628,407056,{Amar-Suen.09.04.16},Undirected,{'source'},{'representative'}
2926,203,1628,407056,{Amar-Suen.09.04.16},Undirected,{'source'},{'representative'}
2927,203,1349,103061,{Amar-Suen.04.06.07},Undirected,{'source'},{'intermediary'}
2928,203,1349,105921,{Amar-Suen.05.02.01},Undirected,{'source'},{'intermediary'}
2929,203,1349,210119,{Amar-Suen.06.04.13},Undirected,{'source'},{'intermediary'}
2930,203,203,115516,{Amar-Suen.06.02.25},Undirected,{'source'},{'source'}
2931,203,1398,115516,{Amar-Suen.06.02.25},Undirected,{'source'},
2932,203,1398,115516,{Amar-Suen.06.02.25},Undirected,{'source'},
2933,203,1466,102957,{Amar-Suen.04.02.13},Undirected,{'source'},
2934,203,808,129429,{Amar-Suen.05.10.00},Undirected,{'source'},{'recipient'}
2935,203,456,115523,{Amar-Suen.02.10.00},Undirected,{'source'},{'recipient'}
2936,203,821,115523,{Amar-Suen.02.10.00},Undirected,{'source'},
2937,456,821,115523,{Amar-Suen.02.10.00},Undirected,{'recipient'},
2938,203,1594,143104,{Amar-Suen.01.11.26},Undirected,{'source'},
2939,203,2108,143104,{Amar-Suen.01.11.26},Undirected,{'source'},{'recipient'}
