,BDTNS No,CDLI ID,Original date,Converted Date
988,26563,P102966,SH44 - 06 - 18,62.061800000000005
989,26564,P102967,AS04 - 05 - 25,70.0525
990,26565,P102968,AS04 - 08 - 18,70.0818
991,26567,P102970,AS03 - 11 - 04,69.1104
992,26568,P102971,AS07 - 03 - 29,73.0329
993,26569,P102972,AS06 - 06 - 29,72.0629
994,26570,P102973,AS04 - 01 - 20,70.012
995,26571,P102974,AS05 - 01 - 17,71.0117
996,26572,P102975,AS08 - 10 - 26,74.1026
997,26573,P102976,AS08 - 04 - 06,74.04060000000001
998,26574,P102977,SS02 - 08 - 00,77.08
999,26575,P102978,AS04 - 03 - 24,70.0324
1000,26576,P102979,AS06 - 11 - 27,72.1127
1001,26577,P102980,AS04 - 08 - 30,70.083
1002,26578,P102981,AS06 - 06 - 25,72.0625
1003,26579,P102982,AS06 - 03 - 24,72.0324
1004,26580,P102983,AS07 - 08 - 19,73.0819
1005,26581,P102984,AS08 - 08 - 15,74.08149999999999
1006,26584,P102987,SH29 - 11 - 00,47.11
1007,26585,P102988,SS04 - 11 - 00,79.11
1008,26588,P102991,AS04 - 02 - 07,70.02069999999999
1009,26590,P102993,AS04 - 05 - 08,70.0508
1010,26591,P102994,XXXX - 00 - 00,0.0
1011,26592,P102995,SH48 - 07 - 00,66.07
1012,26593,P102996,AS08 - 08 - 26,74.0826
1013,26594,P102997,SS09 - 01 - 00,84.01
1014,26595,P102998,SS04 - 05 - 02,79.0502
1015,26596,P102999,SS03 - 08 - 14,78.0814
1016,26597,P103000,SS02 - 03 - 16,77.0316
1017,26598,P103001,SS08 - 12 - 00,83.12
1018,26599,P103002,SS02 - 03 - 16,77.0316
1019,26601,P103004,AS06 - 06 - 02,72.06020000000001
1020,26602,P103005,SS06 - 12 - 00,81.12
1021,26603,P103006,AS06 - 10 - 18,72.1018
1022,26604,P103007,AS08 - 11 - 14,74.1114
1023,26605,P103008,SS01 - 04 - 00,76.04
1024,26606,P103009,AS06 - 04 - 03,72.0403
1025,26607,P103010,IS02 - 04 - 01,86.04010000000001
1026,26608,P103011,AS08 - 09 - 24,74.0924
1027,26611,P103014,AS04 - 06 - 09,70.0609
1028,26612,P103015,AS08 - 09 - 21,74.0921
1029,26613,P103016,AS04 - 02 - 24,70.02239999999999
1030,26614,P103017,SH42 - 12 - 00,60.12
1031,26615,P103018,SH42 - 06 - 00,60.06
1032,26616,P103019,AS08 - 09 - 09,74.0909
1033,26617,P103020,AS02 - 04 - 29,68.0429
1034,26618,P103021,AS08 - 11 - 00,74.11
1035,26620,P103023,AS06 - 03 - 22,72.0322
1036,26621,P103024,AS08 - 00 - 00,74.0
1037,26622,P103025,AS07 - 02 - 03,73.02029999999999
1038,26624,P103027,AS06 - 10 - 10,72.101
1039,26626,P103029,AS03 - 10 - 13,69.1013
1040,26627,P103030,SH42 - 01 - 00 // AS06 - 00 - 00,60.01
1041,26628,P103031,AS04 - 10 - 05,70.1005
1042,26629,P103032,AS08 - 09 - 09,74.0909
1043,26630,P103033,AS08 - 11 - 30,74.113
1044,26631,P103034,AS06 - 03 - 22,72.0322
1045,26633,P103036,AS02 - 12 - 04,68.1204
1046,26634,P103037,AS08 - 12 - 08,74.1208
1047,26636,P103039,AS08 - 09 - 27,74.09270000000001
1048,26637,P103040,AS08 - 11 - 12,74.1112
1049,26638,P103041,AS08 - 11 - 19,74.1119
1050,26639,P103042,AS06 - 03 - 16,72.0316
1051,26640,P103043,AS08 - 07 - 26,74.0726
1052,26641,P103044,AS04 - 07 - 17,70.07169999999999
1053,26645,P103048,AS04 - 03 - 17,70.0317
1054,26646,P103049,AS06 - 08 - 04,72.0804
1055,26647,P103050,AS08 - 03 - 07,74.0307
1056,26649,P103052,AS06 - 12 - 01,72.12010000000001
1057,26651,P103054,AS02 - 04 - 00,68.04
1058,26652,P103055,AS04 - 01 - 20,70.012
1059,26653,P103056,AS05 - 08 - 04,71.0804
1060,26654,P103057,XXXX - 00 - 00,0.0
1061,26656,P103059,SS03 - 09 - 00,78.09
1062,26657,P103060,AS05 - 04 - 12,71.0412
1063,26658,P103061,AS04 - 06 - 07,70.0607
1064,26660,P103063,AS02 - 08 - 06,68.0806
1065,26661,P103064,AS08 - 01 - 29,74.0129
1066,26662,P103065,AS06 - 09 - 01,72.0901
1067,26663,P103066,AS08 - 03 - 19,74.03190000000001
1068,26664,P103067,AS08 - 12 - 30,74.123
1069,26666,P103069,XXXX - 09 - 29,0.0929
1070,26667,P103070,SS09 - 10 - 00,84.1
1071,26670,P103073,AS05 - 10 - 00,71.1
1072,26672,P103075,AS04 - 03 - 00,70.03
1073,26673,P103076,AS02 - 01 - 00,68.01
1074,26675,P103078,SH48 - 07 - 24,66.07239999999999
1075,26676,P103079,AS04 - 10 - 28,70.10279999999999
1076,26677,P103080,AS06 - 03 - 01,72.0301
1077,174669,P235785,SH43 - 12 - 00,61.12
1078,26678,P103081,AS02 - 04 - 09,68.04090000000001
1079,26679,P103082,AS06 - 08 - 00,72.08
1080,26680,P103083,AS04 - 09 - 09,70.0909
1081,26681,P103084,AS08 - 03 - 24,74.0324
1082,26682,P103085,SS02 - 04 - 00,77.04
1083,26683,P103086,SS02 - 07 - 00,77.07
1084,26684,P103087,AS04 - 10 - 30,70.103
